"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","plot_number","partner_id","partner_location_id","date_planting","date_harvest","date_vinekill","breeder_merit_score","field_merit","field_comments","yield_total","specific_gravity","vine_maturity","tuber_flesh_color","tuber_shape","tuber_appearance","tuber_defects","tuber_flesh_oxidation","tuber_heat_sprouts","yield_no1","yield_total_cwt","yield_no1_percent","size_b","size_a","oversize","pickouts","hollow_heart","vascular_discoloration","heat_necrosis","brown_center","black_spot_bruise","black_spot_bruise_per_tuber","plant_vigor","disease_reaction","date_processed_otf","sfa_chip_color_otf","stem_end_browning_otf","date_processed_3mo","sfa_chip_color_3mo","stem_end_browning_3mo","date_processed_6mo","sfa_chip_color_6mo","stem_end_browning_6mo","process_comments","fry_color","total_glycoalkaloids","after_cooking_darkening","color_scale","color_instrument"
"2022","NCPT","NC","2022 NCPT NC","TX17846-1W","","145","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TX17846-1W","","145","2","1","","","","","2022-03-28","2022-07-12","","3","2","","9.7","1.069","4","","2","7","sr,ms,rz,ss","","","153","234","0.65","0.19","0.65","0","0.16","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TX17846-1W","","145","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TX18042-1W","","146","1","1","","","","","2022-03-28","2022-07-12","","2.7","4","","7.4","1.086","5","","3","4","cs,sr,toosmall,pinkcast","","","121","179","0.67","0.25","0.67","0","0.07","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TX18042-1W","","146","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TX18170-4W","","147","2","1","","","","","2022-03-28","2022-07-12","","2.4","2","","8","1.078","7","","2","7","sr,ss,il,pinkeyes","","","145","194","0.75","0.16","0.75","0","0.1","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TX18170-4W","","147","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","1","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TXND18031-1","","148","1","1","","","","","2022-03-28","2022-07-12","","3","4","","5","1.073","5","","2","4","","","","101","121","0.84","0.03","0.84","0","0.13","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","TXND18031-1","","148","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15125-4","","149","1","1","","","","","2022-03-28","2022-07-12","","2","2","","14","1.07","6","","2","7","sr,cs","","","297","341","0.87","0.05","0.87","0","0.08","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15125-4","","149","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15125-4","","149","2","1","","","","","2022-03-28","2022-07-12","","2.1","2","","13.2","1.075","5","","2","6","sr,ss,il,rz","","","276","320","0.86","0.06","0.86","0","0.08","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15125-4","","149","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15200-3","","150","1","1","","","","","2022-03-28","2022-07-12","","2.6","3","","7.1","1.079","6","","2","5","v?,rz","","","136","171","0.8","0.15","0.8","0","0.06","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15200-3","","150","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15200-3","","150","2","1","","","","","2022-03-28","2022-07-12","","2.6","2","","8.6","1.078","6","","2","6","sr","","","157","207","0.76","0.2","0.76","0","0.04","0","0","0.1","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15200-3","","150","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15NYR11-13","","151","1","1","","","","","2022-03-28","2022-07-12","","2.1","2","","16","1.068","7","","2","6","gc,ss,rz,sr","","","324","389","0.83","0.11","0.83","0","0.06","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15NYR11-13","","151","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15NYR11-13","","151","2","1","","","","","2022-03-28","2022-07-12","","2.7","4","","14.1","1.068","7","","2","4","mix,sr,rz","","","278","342","0.81","0.12","0.81","0","0.07","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W15NYR11-13","","151","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W16219-8","","152","1","1","","","","","2022-03-28","2022-07-12","","3","3","","6.8","1.068","8","","3","5","ss,cs,sr","","","121","164","0.74","0.08","0.74","0","0.19","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W16219-8","","152","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W16219-8","","152","2","1","","","","","2022-03-28","2022-07-12","","2.3","2","","12.8","1.071","8","","2","7","sr","","","230","311","0.74","0.2","0.74","0","0.06","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W16219-8","","152","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17037-3","","153","1","1","","","","","2022-03-28","2022-07-12","","2.7","3","","5","1.074","8","","2","5","small,sr,cs","","","97","121","0.8","0.15","0.8","0","0.05","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17037-3","","153","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","1","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17039-31","","154","2","1","","","","","2022-03-28","2022-07-12","","2.3","3","","12.3","1.076","7","","1","5","cs,rz","","","253","299","0.85","0.13","0.85","0","0.02","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17039-31","","154","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17039-7","","155","2","1","","","","","2022-03-28","2022-07-12","","2.3","3","","12.5","1.072","7","","3","5","cs,ms,ss,sr","","","235","302","0.78","0.17","0.78","0","0.05","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17039-7","","155","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17043-37","","156","2","1","","","","","2022-03-28","2022-07-12","","2.7","2","","10.9","1.07","5","","2","7","rz,gc","","","206","263","0.78","0.1","0.78","0","0.11","0","0","0","0.1","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17043-37","","156","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17049-10","","157","1","1","","","","","2022-03-28","2022-07-12","","2.7","4","","9.1","1.085","5","","3","4","sr,ss,toosmall","","","144","221","0.65","0.29","0.65","0","0.05","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17049-10","","157","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17060-9","","158","2","1","","","","","2022-03-28","2022-07-12","","2.6","2","","15.1","1.07","7","","2","6","il,stst,ss,rz","","","286","367","0.78","0.11","0.78","0","0.11","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17060-9","","158","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17065-11","","159","2","1","","","","","2022-03-28","2022-07-12","","4","2","","12.2","1.081","8","","3","6","ss,ms,hs","","","250","296","0.85","0.06","0.85","0","0.09","0","0","0.3","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17065-11","","159","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17066-34","","160","1","1","","","","","2022-03-28","2022-07-12","","2","1","","12.4","1.072","8","","3","9",".","","","275","300","0.91","0.09","0.91","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17066-34","","160","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17067-1","","161","1","1","","","","","2022-03-28","2022-07-12","","2","1","","8.5","1.077","5","","3","8","ss,gc,rz,sr","","","186","205","0.91","0.05","0.91","0","0.04","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17067-1","","161","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17AF6670-1","","162","1","1","","","","","2022-03-28","2022-07-12","","2","2","","9.3","1.076","7","","1","6",".","","","203","226","0.9","0.1","0.9","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17AF6670-1","","162","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","1","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17AF6685-2","","163","1","1","","","","","2022-03-28","2022-07-12","","2.7","3","","9.1","1.08","7","","3","5","ms,pts,ss,sr,v?","","","171","220","0.78","0.05","0.78","0","0.17","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","W17AF6685-2","","163","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF15184-4","","164","1","1","","","","","2022-03-28","2022-07-12","","4","1","","10.6","1.076","8","","2","8","ms,ss,gc","","","223","256","0.87","0.1","0.87","0","0.03","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF15184-4","","164","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF15184-4","","164","2","1","","","","","2022-03-28","2022-07-12","","2","1","","10.7","1.072","7","","2","9",".","","","244","259","0.94","0.06","0.94","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF15184-4","","164","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16107-2","","165","1","1","","","","","2022-03-28","2022-07-12","","2.9","3","","13.2","1.069","5","","2","5","sr,rz,ss","","","276","320","0.86","0","0.86","0","0.14","0.1","0","0.2","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16107-2","","165","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","1.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16107-2","","165","2","1","","","","","2022-03-28","2022-07-12","","2.4","2","","8.7","1.08","5","","2","6","ms,rz,ss","","","178","212","0.84","0.04","0.84","0","0.11","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16107-2","","165","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16220-4","","166","1","1","","","","","2022-03-28","2022-07-12","","3","4","","8","1.078","6","","3","4","sr,ss,cs,rz","","","140","193","0.72","0.05","0.72","0","0.22","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16220-4","","166","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16220-4","","166","2","1","","","","","2022-03-28","2022-07-12","","4","4","","12.3","1.071","7","","3","4","ss,rz,il,gc,ms,sr","","","211","298","0.71","0.06","0.71","0","0.23","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF16220-4","","166","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2.5","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF17045-2","","167","2","1","","","","","2022-03-28","2022-07-12","","2.6","3","","10","1.073","6","","2","5","il,sr,ss,rz","","","195","242","0.81","0.07","0.81","0","0.13","0","0","0","0","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF17045-2","","167","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF17049-2","","168","2","1","","","","","2022-03-28","2022-07-12","","2.6","2","","8.1","1.081","7","","2","6","rz,ms","","","166","197","0.84","0.09","0.84","0","0.07","0","0","0","0.1","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","NC","2022 NCPT NC","WAF17049-2","","168","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022-07-13","2","","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","A13125-3C","","1","1","1","","14.09","","","2022-06-03","2022-09-29","2022-09-26","3","","high yld, not uniform shape/size","16.3","1.109","5","1","3","6","","","","96","174","0.55","0.22","","0.23","0","0","0.1","0","0","","","","","2022-11-08","1","0","","","","","","","hh","","","","",""
"2022","NCPT","ND","2022 NCPT ND","A13125-3C","","1","2","1","","20.13","","","2022-06-03","2022-09-29","2022-09-26","3","","not uniform size","9.5","1.103","5","1","3","6","","","","62","101","0.61","0.17","","0.21","0","0.2","0","0","0","","","","","2022-11-08","2","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","A16150-1C","","2","1","1","","14.10","","","2022-06-03","2022-09-29","2022-09-26","4","","no yld, v small","4.2","1.108","2","1","2","5","","","","21","45","0.48","0.52","","0","0","0","0","0","0","","","","","2022-11-08","3","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AC13125-4W","","3","1","1","","","","","2022-06-03","2022-09-29","2022-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AC13125-5W","","4","1","1","","","","","2022-06-03","2022-09-29","2022-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AC13126-1Wadg","","5","1","1","","","","","2022-06-03","2022-09-29","2022-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AC13126-1Wadg","","5","2","1","","","","","2022-06-03","2022-09-29","2022-09-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6200-4","","6","1","1","","10.14","","","2022-06-03","2022-09-29","2022-09-26","3","","rough","11.2","1.104","5","1","4","5","","","","54","120","0.45","0.15","","0.21","0.19","0","0","0","0","","","","","2022-11-08","1","0","","","","","","","dry rot, pit scab","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6200-4","","6","2","1","","19.11","","","2022-06-03","2022-09-29","2022-09-26","3","","deep eye/ends, low set?","10.5","1.109","1","1","4","5","","","","84","112","0.75","0.07","","0.1","0.07","0","0.1","0","0","","","","","2022-11-08","1","5","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6200-7","","7","1","1","","10.15","","","2022-06-03","2022-09-29","2022-09-26","3","","elongate, deep ends","10.7","1.114","5","1","4","5","","","","59","115","0.51","0.05","","0.37","0.07","0","0.1","0","0","","","","","2022-11-08","1","3","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6200-7","","7","2","1","","19.12","","","2022-06-03","2022-09-29","2022-09-26","3","","rough, big,ex yld","13.8","1.111","5","1","3","6","","","","88","147","0.6","0.1","","0.3","0","0","0","0","0","","","","","2022-11-08","3.5","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6206-3","","8","1","1","","11.05","","","2022-06-03","2022-09-29","2022-09-26","1","","","16.1","1.11","3","1","4","6","","","","105","171","0.61","0.22","","0.16","0.01","0","0.1","0","0","","","","","2022-11-08","1.5","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6206-3","","8","2","1","","19.13","","","2022-06-03","2022-09-29","2022-09-26","3","","","9.4","1.104","5","1","2","6","","","","60","100","0.6","0.33","","0.07","0","0","0","0","0","","","","","2022-11-08","2","2","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6206-5","","9","1","1","","11.06","","","2022-06-03","2022-09-29","2022-09-26","1","","high yld, uniform","14.1","1.111","3","1","2","7","","","","80","150","0.53","0.41","","0.05","0","0","0","0","0","","","","","2022-11-08","1","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6206-5","","9","2","1","","19.14","","","2022-06-03","2022-09-29","2022-09-26","4","","high yld, uniform","15.5","1.115","7","1","2","7","","","","103","165","0.62","0.26","","0.1","0.02","0","0","0.1","0","","","","","2022-11-08","3","5","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6526-7","","10","1","1","","11.07","","","2022-06-03","2022-09-29","2022-09-26","3","","","13","1.111","3","1","3","6","","","","85","138","0.61","0.18","","0.15","0.05","0.2","0","0.1","0","","","","","2022-11-08","1","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6526-7","","10","2","1","","19.15","","","2022-06-03","2022-09-29","2022-09-26","4","","big, good yld","12.6","1.102","5","1","2","6","","","","96","134","0.71","0.13","","0.16","0","0.6","0","0.1","0","","","","","2022-11-08","3","5","","","","","","","pit scab, dry rot","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6543-2","","11","1","1","","11.08","","","2022-06-03","2022-09-29","2022-09-26","3","","not uniform size/shape","10.5","1.1","1","1","3","5","","","","45","112","0.4","0.43","","0.15","0.02","0.2","0","0","0","","","","","2022-11-08","3","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6550-2","","12","1","1","","11.09","","","2022-06-03","2022-09-29","2022-09-26","2","","not uniform size","14.9","1.11","1","1","3","6","","","","82","159","0.51","0.37","","0.11","0.01","0","0.1","0","0","","","","","2022-11-08","2","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6550-2","","12","2","1","","20.05","","","2022-06-03","2022-09-29","2022-09-26","3","","good yld, Row 19 syndrome,","12","1.11","2","1","2","5","","","","67","129","0.52","0.41","","0.05","0.02","0","0","0","0","","","","","2022-11-08","2","4","","","","","","","wow!","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6552-2","","13","1","1","","11.15","","","2022-06-03","2022-09-29","2022-09-26","3","","not uniform","10.1","1.104","7","1","2","6","","","","62","108","0.58","0.36","","0.06","0","0.2","0","0","0","","","","","2022-11-08","2","0","","","","","","","dry rot","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6552-2","","13","2","1","","20.06","","","2022-06-03","2022-09-29","2022-09-26","3","","fairly uniform","8.9","1.11","5","1","2","6","","","","54","95","0.57","0.28","","0.15","0","0.1","0","0","0","","","","","2022-11-08","2","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6555-2","","14","1","1","","12.05","","","2022-06-03","2022-09-29","2022-09-26","3","","rough, deepends","16.1","1.113","5","1","3","5","","","","89","172","0.51","0.32","","0.02","0.15","0","0.1","0","0","","","","","2022-11-08","3","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6555-2","","14","2","1","","20.07","","","2022-06-03","2022-09-29","2022-09-26","3","","deep ends","14.1","1.112","5","1","2","5","","","","98","150","0.65","0.3","","0.05","0","0","0.1","0","0","","","","","2022-11-08","2","5","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6565-8","","15","1","1","","12.06","","","2022-06-03","2022-09-29","2022-09-26","3","","low yld, small","8.8","1.11","3","1","2","5","","","","50","94","0.53","0.43","","0","0.04","0.3","0","0","0","","","","","2022-11-08","1","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6565-8","","15","2","1","","20.08","","","2022-06-03","2022-09-29","2022-09-26","3","","rough, deep eyes/ends","12.4","1.104","1","1","3","5","","","","79","133","0.6","0.34","","0.06","0","0.1","0","0","0","","","","","2022-11-08","2","0","","","","","","","hh","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6567-4","","16","1","1","","12.07","","","2022-06-03","2022-09-29","2022-09-26","4","","poor shape","12","1.114","5","1","4","5","","","","71","128","0.56","0.17","","0.21","0.06","0.2","0","0.1","0","","","","","2022-11-08","2","1","","","","","","","bubbles, pit scab, dry rot","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6567-4","","16","2","1","","20.09","","","2022-06-03","2022-09-29","2022-09-26","2","","some deep ends","20.4","1.117","3","1","3","6","","","","131","218","0.6","0.25","","0.15","0","0","0","0","0","","","","","2022-11-08","2","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6601-2","","17","1","1","","12.08","","","2022-06-03","2022-09-29","2022-09-26","3","","small","12.7","1.111","2","1","2","6","","","","69","135","0.51","0.49","","0","0","0","0","0","0","","","","","2022-11-08","2","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6601-2","","17","2","1","","20.10","","","2022-06-03","2022-09-29","2022-09-26","3","","small","","1.11","1","1","3","5","","","","","","","","","","","0","0","0","0","","","","","2022-11-08","2","5","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6603-5","","18","1","1","","12.09","","","2022-06-03","2022-09-29","2022-09-26","3","","v deep ends","11.3","1.108","3","1","3","5","","","","78","120","0.65","0.15","","0.11","0.09","0","0","0","0","","","","","2022-11-08","2","0","","","","","","","pit scab","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6603-5","","18","2","1","","20.11","","","2022-06-03","2022-09-29","2022-09-26","3","","lower yld, deeper eyes","8.5","1.11","1","1","3","5","","","","46","91","0.51","0.2","","0.24","0.05","0","0.1","0","0","","","","","2022-11-08","3","0","","","","","","","dry rot","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6618-2","","19","1","1","","12.10","","","2022-06-03","2022-09-29","2022-09-26","3","","","11","1.116","2","1","3","6","","","","78","118","0.67","0.15","","0.14","0.04","0","0","0","0","","","","","2022-11-08","2","4","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6652-3","","20","1","1","","12.11","","","2022-06-03","2022-09-29","2022-09-26","4","","","11.3","1.114","3","1","3","5","","","","76","120","0.63","0.24","","0.11","0.02","0.2","0.1","0","0","","","","","2022-11-08","3","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6655-1","","21","1","1","","12.12","","","2022-06-03","2022-09-29","2022-09-26","3","","kind of rough","9.3","1.112","3","1","3","6","","","","73","99","0.74","0.18","","0.07","0.01","0.1","0","0","0","","","","","2022-11-08","3","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6664-8","","22","1","1","","12.13","","","2022-06-03","2022-09-29","2022-09-26","4","","ugly","13.9","1.099","7","1","3","4","","","","64","149","0.43","0.13","","0.42","0.02","0","0","0","0","","","","","2022-11-08","2","0","","","","","","","dry rot","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6665-3","","23","1","1","","12.14","","","2022-06-03","2022-09-29","2022-09-26","4","","rough","9.7","1.092","5","1","3","5","","","","53","103","0.52","0.41","","0.07","0","0.5","0","0","0","","","","","2022-11-08","3","0","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6668-3","","24","1","1","","12.15","","","2022-06-03","2022-09-29","2022-09-26","3","","","11.4","1.107","5","1","4","5","","","","72","122","0.59","0.2","","0.2","0","0","0","0","0","","","","","2022-11-08","3","0","","","","","","","hh","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6669-10","","25","1","1","","13.05","","","2022-06-03","2022-09-29","2022-09-26","3","","deep eyes","10.5","1.106","2","1","3","5","","","","57","112","0.51","0.47","","0","0.02","0","0","0","0.1","","","","","2022-11-08","1","0","","","","","","","wow","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6671-10","","26","1","1","","13.06","","","2022-06-03","2022-09-29","2022-09-26","3","","high yld, v ob","13.1","1.103","1","1","3","6","","","","103","140","0.74","0.18","","0.07","0.01","0.1","0","0","0","","","","","2022-11-08","2","2","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6675-1","","27","1","1","","13.07","","","2022-06-03","2022-09-29","2022-09-26","3","","bigger, kind of rough","9.5","1.097","3","1","4","5","","","","59","101","0.58","0.31","","0.12","0","0.1","0","0","0","","","","","2022-11-08","2.5","5","","","","","","","","","","","",""
"2022","NCPT","ND","2022 NCPT ND","AF6680-2","","28","1","1","","13.08","","","2022-06-03","2022-09-29","2022-09-26","3","","shape, deep eyes, beat up, immature?","9.5","1.111","3","1","4","5","","","","68","102","0.66","0.27","","0.07","0","0.1","0","0","0","","","","","2022-11-08","2","2","","","","","","","dry rot","","","","",""
