"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","plot_number","block","breeder_merit_score","date_planting","seed_pieces_planted","seed_observations","date_vinekill","date_harvest","date_gathered","plant_stand","final_emergence","roguing_notes","vine_maturity","verticillium_wilt","specific_gravity","undersize_yield","small_yield","mid_yield","oversize_yield","cull_tuber_defects","calc_nfpt_total_yield","calc_nfpt_mkt_yield","calc_nfpt_mkt_undersize_yield","calc_nfpt_mkt_4oz_yield","calc_nfpt_mkt_6oz_yield","calc_nfpt_mkt_10oz_yield","calc_nfpt_mkt_cull_yield","calc_nfpt_mkt_total_yield","tuber_length","tuber_width","tuber_depth","tuber_shape","tuber_flesh_color","tuber_appearance","tuber_defects","field_observations","total_weight","growth_crack","greening","defect_green","powdery_scab","common_scab","scab","shatter_bruise","internal_brown_spot","vascular_discoloration","harvest_comments","total_glycoalkaloids","fry_color","internal_tuber_defects","external_tuber_defects","comments"
"2020","NFPT","OR","2020 NFPT OR","W13A11229-1rus","","47","1","1","","","","","","2","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.089","53.5","104.9","202.8","470.8","26.5","858.5","778.5","0.06","0.94","0.81","0.57","0.03","0.91","","","","4","","","bottleneck, pointy, swollen lenticels","","858.4","1","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","W13A11229-1rus","","47","2","1","","","","","","3","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","90","","","","","1.085","29.3","85.2","210.2","531.9","12.1","868.7","827.3","0.03","0.97","0.87","0.62","0.01","0.95","","","","3","","","Pointy, curved","","868.8","1","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","NDAF113476CB-3","","48","1","1","","","","","","3","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.076","36.7","99.1","138.4","153.9","41.9","470","391.4","0.09","0.91","0.68","0.36","0.09","0.83","","","","4","","","pointy, irregular, curved","","469.9","1","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","NDAF113476CB-3","","48","2","1","","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","90","","","","","1.07","23","84","111.3","113.6","76.1","408","308.9","0.07","0.93","0.68","0.34","0.19","0.76","","","","5","","","bottleneck, pointy","","407.9","1","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","NDAF113476CB-3","","48","3","1","","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.071","52.1","122.3","90.6","203.2","113.1","581.3","416.1","0.11","0.89","0.63","0.43","0.19","0.72","","","","5","","","Pointy, curved, bottleneck, growth cracks","","581.3","2","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","Russet Burbank","","49","1","1","1","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.079","75","144.6","281.3","106.3","125.5","732.7","532.2","0.12","0.88","0.64","0.18","0.17","0.73","","","","5","","","Growth cracks, bottleneck, curved, knobs","","732.6","3","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","Russet Burbank","","49","2","1","1","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.08","83.4","98.1","261.6","310.1","104.6","857.8","669.8","0.11","0.89","0.76","0.41","0.12","0.78","","","","5","","","pointy, bottleneck, water rot, curved, growth cracks, irregular","","857.8","2","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","Russet Burbank","","49","3","1","1","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.079","70.4","80","196.4","187.3","205.2","739.3","463.7","0.13","0.87","0.72","0.35","0.28","0.63","","","","4","","","water rot, growth cracks, curved, heart","","739.4","2","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","Ranger Russet","","50","1","1","1","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.084","73.6","128.9","277.7","235.4","130.9","846.5","642","0.1","0.9","0.72","0.33","0.15","0.76","","","","5","","","Curved, growth cracks, pointy","","846.6","2","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","Ranger Russet","","50","2","1","1","","","","","3","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.079","80.2","154","256.4","385.7","76.1","952.4","796.1","0.09","0.91","0.73","0.44","0.08","0.84","","","","5","","","curved, pointy, growth cracks","","952.3","2","1","","","1","","1","","","","","","","",""
"2020","NFPT","OR","2020 NFPT OR","Ranger Russet","","50","3","1","1","","","","","4","2020-04-07","30","","2020-09-08","2020-09-15","2020-09-17","100","","","","","1.078","63.4","144.1","292.8","361.5","81","942.8","798.4","0.07","0.93","0.76","0.42","0.09","0.85","","","","4","","","curved, pointy, irregular, heart","","942.8","1","1","","","1","","1","","","","","","","",""
"2020","NFPT","WA","2020 NFPT WA","CO12152-1RU","","1","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.83","None","","","1.083","186.8","118.5","111.7","13.4","3.2","433.6","243.6","0.43","0.57","0.29","0.03","0.01","0.56","","","","","","7","","","433.5","0","2","","","","","5","0","0","small","","","","",""
"2020","NFPT","WA","2020 NFPT WA","CO12246-1RU","","2","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.067","96.9","131.6","268.2","210.6","12.1","719.4","610.4","0.14","0.86","0.68","0.3","0.02","0.85","","","","","","3","","","719.4","0","12","","","","","4","0","0","short, some round, nice skin, med russ","","","","",""
"2020","NFPT","WA","2020 NFPT WA","CO12378-1RU","","3","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.092","86.5","136","231.8","181.8","1.8","637.9","549.6","0.14","0.86","0.65","0.29","0","0.86","","","","","","7","","","637.9","0","2","","","","","5","0","0","short to round, nice russ skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A08292-1LB","","4","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.89","None","","","1.086","77.7","116.2","213.8","255.4","44.9","708","585.4","0.12","0.88","0.71","0.39","0.06","0.83","","","","","","7","","","708","25","20","","","","","4","0","0","good length, med russ, uniform shape","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A09022-4","","5","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.076","105.3","126.5","255.3","112","38.2","637.3","493.8","0.18","0.82","0.61","0.19","0.06","0.77","","","","","","3","","","637.3","0","21","","","","","5","0","0.2","small, lt russ","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A09136-9LB","","6","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.89","None","","","1.087","23.5","28.2","165.6","958","46.3","1221.6","1151.8","0.02","0.98","0.96","0.82","0.04","0.94","","","","","","1","","","1221.6","4","33","","","","","4","0","0","round to oval, lumpy, bumpy, river rock","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10020-3sto","","7","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.89","None","","","1.079","124.9","173.3","378.5","331.5","11.3","1019.5","883.3","0.12","0.88","0.7","0.33","0.01","0.87","","","","","","3","","","1019.6","2","8","","","","","5","0","0.3","small","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10635-2VR","","8","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.89","None","","","1.096","151.9","181.1","491.3","385.2","57.3","1266.8","1057.6","0.13","0.87","0.72","0.32","0.05","0.83","","","","","","7","","","1266.9","0","32","","","","","5","0","0.2","nice uniform shape, good length, feather skin, spotty russ","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12076-4sto","","9","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.72","None","","","1.086","101.3","166.3","205","120.8","10.1","603.5","492.1","0.17","0.83","0.55","0.2","0.02","0.82","","","","","","1","","","603.5","0","10","","","","","5","0","0","small, scabby skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12304-1sto","","10","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.079","63.7","121.4","367.1","537.2","77.5","1166.9","1025.7","0.06","0.94","0.83","0.49","0.07","0.88","","","","","","3","","","1166.9","0","78","","","","","5","0","0","BAD GREENING, shape mostly uniform, med russet","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12304-4sto","","11","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.89","None","","","1.069","85.8","129.7","207.9","211.5","22.6","657.5","549.1","0.14","0.86","0.66","0.33","0.03","0.84","","","","","","1","","","657.5","0","23","","","","","4","0","0.06","good length, shape mostly uniform, ugly lt skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12305-2adg","","12","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.087","62.4","63.3","293.9","799.4","15.3","1234.3","1156.6","0.05","0.95","0.9","0.66","0.01","0.94","","","","","","3","","","1234.2","0","15","","","","","5","0","0","length ok, shape bit irregular","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12308-4VR","","13","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.082","94.6","161.3","229.3","0","4.3","489.5","390.6","0.19","0.81","0.47","0","0.01","0.8","","","","","","7","","","489.4","0","0","","","","","5","0","0","smaller, uniform shape","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12327-5VR","","14","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.83","None","","","1.076","39.7","68.5","396.7","607.3","68.3","1180.5","1072.5","0.04","0.96","0.9","0.55","0.06","0.91","","","","","","7","","","1180.6","34","34","","","","","5","0","0","heavy, dark skin, plump, bit short","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A13036-1","","15","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.083","30.5","79.2","208.1","548.4","6.2","872.4","835.7","0.04","0.96","0.87","0.63","0.01","0.96","","","","","","7","","","872.3","0","6","","","","","5","0","0","short, plump, some round, deeper eyes","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A13038-3","","16","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.83","None","","","1.082","38.8","52","132.7","623.1","67.8","914.4","807.8","0.05","0.95","0.89","0.74","0.07","0.88","","","","","","3","","","914.5","23","40","","","","","5","0","0","good length, plump, blocky, deeper eyes","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AFA5661-8","","17","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.093","22.8","9.6","102.7","424.2","66.7","626","536.5","0.04","0.96","0.94","0.76","0.11","0.86","","","","","","7","","","626.1","0","63","","","","","3","0","0.2","larger, good long shape, blocky, med russet","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5711-2","","18","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.068","55","93.7","128","289.6","52.4","618.7","511.3","0.1","0.9","0.74","0.51","0.08","0.83","","","","","","3","","","618.6","14","23","","","","","5","0","0.1","short, plump, med russ, some rot","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5735-8","","19","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.065","9.8","27.9","91.7","707.9","164.4","1001.7","827.5","0.01","0.99","0.95","0.85","0.16","0.83","","","","","","3","","","1001.7","0","164","","","","","4","0","0","SEVERE GREENING DROP","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5736-16","","20","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.086","13.1","15.4","84.9","656.1","71.5","841","756.4","0.02","0.98","0.96","0.85","0.09","0.9","","","","","","3","","","841","16","56","","","","","5","0","0","large, long, flat, bit lumpy, deeper eyes, feathery skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5741-6","","21","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.062","43.5","92.5","194","262.9","34.5","627.4","549.4","0.07","0.93","0.77","0.44","0.05","0.88","","","","","","3","","","627.4","6","28","","","","","4","0","0","light, ugly skin, good length","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5770-7","","22","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.074","9.8","38.7","98.3","716","10.6","873.4","853","0.01","0.99","0.94","0.83","0.01","0.98","","","","","","3","","","873.4","0","11","","","","","5","0","0","good length, flat tubers fairly uniform shape, larger, ugly skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AAF10596-1","","23","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.075","51.1","72.2","268.3","355.2","25.1","771.9","695.7","0.07","0.93","0.83","0.48","0.03","0.9","","","","","","3","","","771.8","7","19","","","","","3","0","0","larger, plump, blocky, good uniform shape, ugly skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","COAF11018-10","","24","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.075","20.8","15.6","107.1","523.9","37.9","705.3","646.6","0.03","0.97","0.95","0.78","0.05","0.92","","","","","","7","","","705.3","0","33","","","","","4","0","0.1","larger, long, shape mostly uniform, med russ, good skin, some curves","","","","",""
"2020","NFPT","WA","2020 NFPT WA","ND13213B-1Russ","","25","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.068","108.2","111.8","173.6","141.5","27.2","562.3","426.9","0.2","0.8","0.59","0.26","0.05","0.76","","","","","","3","","","562.2","0","25","","","","","5","0","0","good length, some curves, med russ, skinny, shape mostly uniform","","","","",""
"2020","NFPT","WA","2020 NFPT WA","ND1412Y-5Russ","","26","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.085","28.9","46.9","213.8","701","22.5","1013.1","961.7","0.03","0.97","0.92","0.71","0.02","0.95","","","","","","1","","","1013.1","0","23","","","","","5","0","0","shape very irregular and nonuniform, many bowling pins","","","","",""
"2020","NFPT","WA","2020 NFPT WA","ND14110B-1Russ","","27","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.78","None","","","1.073","16.8","18.8","70.4","438","155.9","699.9","527.2","0.03","0.97","0.93","0.81","0.22","0.75","","","","","","1","","","699.7","82","65","","","","","5","0","0.1","large, long, lumpy, bumpy, flat, med russet good length","","","","",""
"2020","NFPT","WA","2020 NFPT WA","ND14110B-3Russ","","28","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.069","148.3","121.2","151","195.6","37.5","653.6","467.8","0.24","0.76","0.56","0.32","0.06","0.72","","","","","","1","","","653.7","28","10","","","","","5","0","0","some growth cracks, shape irregular","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AOR10093-11","","29","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.075","45.3","92.6","116.9","440.2","224.1","919.1","649.7","0.07","0.93","0.8","0.63","0.24","0.71","","","","","","1","","","919.2","0","34","","","","","2","0","0","many malformed, DISCARD","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AOR10129-1","","30","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.08","65.9","136.6","297","250.7","12.5","762.7","684.3","0.09","0.91","0.73","0.33","0.02","0.9","","","","","","1","","","762.7","0","8","","","","","4","0","0.3","uniform shape, length ok but not great, terrible, spotty skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AOR11027-4","","31","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.08","40.7","51.6","155","473.9","157.2","878.4","680.5","0.06","0.94","0.87","0.66","0.18","0.77","","","","","","9","","","878.5","0","157","","","","","5","0","0.1","SEVERE GREENING DROP","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AOR10654-11","","32","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.89","None","","","1.068","27.7","58.2","197.6","533","160","976.5","788.8","0.03","0.97","0.89","0.65","0.16","0.81","","","","","","1","","","976.6","99","40","","","","","5","0","0.25","large, deep eyes, irreg shapes, cracks, knobs, ugly, med russ","","","","",""
"2020","NFPT","WA","2020 NFPT WA","MN13142","","33","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.085","101.5","132","190.6","25.5","6.5","456.1","348.1","0.23","0.77","0.48","0.06","0.01","0.76","","","","","","3","","","456.1","0","7","","","","","5","0","0.1","long, skinny, smaller, uniform shape","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5707-1","","34","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.96","None","","","1.079","79.5","192","403.1","346.1","3.6","1024.3","941.2","0.08","0.92","0.73","0.34","0","0.92","","","","","","3","","","1024.3","0","4","","","","","4","0","0","short, some pears, smaller","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5707-1","","34","2","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.076","102.9","125.5","401.8","475.7","75.3","1181.2","1003","0.09","0.91","0.79","0.43","0.06","0.85","","","","","","3","","","1181.3","0","66","","","","","4","0","0","short, some pears, smaller","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5731-11","","35","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.084","22.2","53.7","93.3","136.2","12.1","317.5","283.2","0.07","0.93","0.75","0.45","0.04","0.89","","","","","","3","","","317.4","0","5","","","","","4","0","0","good length, feathery skin, uniform shape, some flat","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5731-11","","35","2","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.088","57.9","104","149.4","173.9","15.9","501.1","427.3","0.12","0.88","0.67","0.36","0.03","0.85","","","","","","3","","","501.1","14","2","","","","","4","0","0","good length, feathery skin, uniform shape, some flat","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5750-16","","36","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.089","96.8","140.8","250.6","351.1","48.1","887.4","742.5","0.12","0.88","0.72","0.42","0.05","0.84","","","","","","3","","","887.4","0","48","","","","","4","0","0","lot of green tubers, good length, ugly skin, shape uniform, some bowling pins","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AF5750-16","","36","2","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.084","90.5","99.7","395.1","289.9","24.9","900.1","784.7","0.1","0.9","0.78","0.33","0.03","0.87","","","","","","3","","","900.1","0","13","","","","","4","0","0","lot of green tubers, good length, ugly skin, shape uniform, some bowling pins","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AOR13064-2","","37","1","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.97","None","","","1.085","41.4","90.8","348.8","496.8","28.2","1006","936.4","0.04","0.96","0.86","0.51","0.03","0.93","","","","","","7","","","1006","0","28","","","","","5","0","0","nice uniform shape, length ok, looks like Clearwater R., med russ, spotty skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","AOR13064-2","","37","2","1","","","","","","1","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.086","43.6","77.3","297.6","541.8","14.7","975","916.7","0.05","0.95","0.87","0.56","0.02","0.94","","","","","","7","","","975","0","10","","","","","5","0","0","nice uniform shape, length ok, looks like Clearwater R., med russ, spotty skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","CO11009-3RU","","38","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.095","30.3","48.2","154","718.9","85.4","1036.8","921.1","0.03","0.97","0.92","0.76","0.08","0.89","","","","","","3","","","1036.8","34","47","","","","","4","0","0","cracks, shape inconsistent, some uniform, dark skin, some rot","","","","",""
"2020","NFPT","WA","2020 NFPT WA","CO11009-3RU","","38","2","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.92","None","","","1.091","33.9","73.3","206.7","408.7","55.2","777.8","688.7","0.05","0.95","0.85","0.57","0.07","0.89","","","","","","3","","","777.9","3","52","","","","","4","0","0","cracks, shape inconsistent, some uniform, dark skin, some rot","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A09086-1LB","","39","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.092","46.3","156.5","317.7","490.1","60.6","1071.2","964.3","0.05","0.95","0.8","0.48","0.06","0.9","","","","","","3","","","1071.1","0","61","","","","","5","0","0","length ok, shape somewhat uniform, ugly spotty skin, lot of green tubers","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A09086-1LB","","39","2","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.095","98.3","114.5","484.5","516.5","35.1","1248.9","1115.5","0.08","0.92","0.82","0.43","0.03","0.89","","","","","","3","","","1248.9","0","35","","","","","5","0","0","length ok, shape somewhat uniform, ugly spotty skin, lot of green tubers","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10007-3","","40","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.96","None","","","1.065","28.8","24.6","91.3","502.8","36","683.5","618.7","0.04","0.96","0.92","0.78","0.05","0.91","","","","","","3","","","683.7","0","26","","","","","4","0","0.1","large,ok length, bit lumpy, plump, deeper eyes","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10007-3","","40","2","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.062","38.4","20.3","59.7","582.8","37.1","738.3","662.8","0.05","0.95","0.92","0.83","0.05","0.9","","","","","","3","","","738.3","0","37","","","","","4","0","0.1","large,ok length, bit lumpy, plump, deeper eyes","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10071-1","","41","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.98","None","","","1.07","45.7","65.9","246.6","572","47.6","977.8","884.5","0.05","0.95","0.88","0.61","0.05","0.9","","","","","","1","","","977.8","0","48","","","","","5","0","0","thick dark russ, pointy stem end, length ok","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10071-1","","41","2","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.97","None","","","1.072","54.1","74.6","180.6","806.3","4.2","1119.8","1061.5","0.05","0.95","0.88","0.72","0","0.95","","","","","","1","","","1119.8","0","4","","","","","5","0","0","thick dark russ, pointy stem end, length ok","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10508-2LB","","42","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.96","None","","","1.08","48.7","87.1","172.8","280","56.7","645.3","539.9","0.08","0.92","0.77","0.48","0.09","0.84","","","","","","3","","","645.2","0","57","","","","","5","0","0","short, round, plump, med russ","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A10508-2LB","","42","2","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.97","None","","","1.076","73.7","82.3","188.3","308.5","30.6","683.4","579.1","0.11","0.89","0.76","0.47","0.04","0.85","","","","","","3","","","683.4","0","27","","","","","5","0","0","short, round, plump, med russ","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A11326-1","","43","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.09","55.3","77.9","260.8","574.6","100.3","1068.9","913.3","0.06","0.94","0.86","0.59","0.09","0.85","","","","","","1","","","1068.9","21","52","","","","","5","0","0","short, many baseballs, mded russ, scabby skin, poor skin set","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A11326-1","","43","2","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","1","None","","","1.093","105.3","110.1","284.8","465.3","47.1","1012.6","860.2","0.11","0.89","0.78","0.48","0.05","0.85","","","","","","1","","","1012.6","0","47","","","","","5","0","0","short, many baseballs, mded russ, scabby skin, poor skin set","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12114-7","","44","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.077","73.4","99","328.6","132","9","642","559.6","0.12","0.88","0.73","0.21","0.01","0.87","","","","","","3","","","642","6","3","","","","","5","0","0.09","small, many round","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12114-7","","44","2","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.071","122.6","131.1","156.3","95.9","0","505.9","383.3","0.24","0.76","0.5","0.19","0","0.76","","","","","","3","","","505.9","0","0","","","","","5","0","0.09","small, many round","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12115-16sto","","45","1","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.98","None","","","1.066","99.4","134.4","317.9","373.8","30.8","956.3","826.1","0.11","0.89","0.75","0.4","0.03","0.86","","","","","","1","","","956.4","5","12","","","","","3","0","0","round and lumpy, lt feathery skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12115-16sto","","45","2","1","","","","","","4","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.97","None","","","1.073","146.6","131.3","275.5","416","42.9","1012.3","822.8","0.15","0.85","0.71","0.43","0.04","0.81","","","","","","1","","","1012.1","0","31","","","","","3","0","0","round and lumpy, lt feathery skin","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12314-1sto","","46","1","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.96","None","","","1.088","31","46.7","187.7","339.2","39.6","644.2","573.6","0.05","0.95","0.87","0.56","0.06","0.89","","","","","","3","","","644","19","21","","","","","5","0","0.1","smaller, shape mostly uniform, feathery skin, many irregular tuber shapes","","","","",""
"2020","NFPT","WA","2020 NFPT WA","A12314-1sto","","46","2","1","","","","","","3","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.94","None","","","1.084","83.8","97.5","185.5","269.5","35.2","671.5","552.5","0.13","0.87","0.72","0.42","0.05","0.82","","","","","","3","","","671.6","0","35","","","","","5","0","0.1","smaller, shape mostly uniform, feathery skin, many irregular tuber shapes","","","","",""
"2020","NFPT","WA","2020 NFPT WA","W13A11229-1rus","","47","1","1","","","","","","2","2020-04-06","18","","2020-09-04","2020-09-14","2020-09-15","","0.96","None","","","1.076","73.3","59.9","199","665.6","29.1","1026.9","924.5","0.07","0.93","0.87","0.67","0.03","0.9","","","","","","3","","","1026.9","0","29","","","","","5","0","0.1","larger, somewhat flat, somewhat uniform shape, ok length","","","","",""
